86,86
86,256
86,380
86,271
86,117
86,65
86,1
86,166
86,433
86,177
353,353
353,73
353,150
353,159
353,417
353,349
353,428
353,80
353,375
353,289
257,257
257,274
257,455
257,270
257,315
257,179
257,45
257,386
257,328
257,101
66,66
66,360
66,442
66,239
66,416
66,464
66,241
66,460
66,343
66,174
168,168
168,123
168,96
168,237
168,169
168,142
168,394
168,31
168,107
168,68
183,183
183,216
183,59
183,298
183,336
183,403
183,285
183,260
183,213
183,308
136,136
136,374
136,278
136,333
136,38
136,64
136,37
136,134
136,115
136,140
10,10
10,9
10,458
10,138
10,79
10,165
10,465
10,405
10,155
10,355
321,321
321,109
321,126
321,139
321,198
321,42
321,277
321,119
321,365
321,305
254,254
254,367
254,72
254,300
254,462
254,171
254,459
254,158
254,118
254,415
52,52
52,54
52,316
52,34
52,375
52,469
52,243
52,420
52,89
52,248
325,325
325,312
325,259
325,111
325,412
325,21
325,108
325,346
325,33
325,323
282,282
282,51
282,90
282,85
282,35
282,220
282,314
282,184
282,473
282,173
285,285
285,403
285,246
285,260
285,161
285,298
285,5
285,183
285,434
285,216
414,414
414,218
414,192
414,276
414,211
414,238
414,46
414,88
414,149
414,328
441,441
441,255
441,351
441,381
441,307
441,95
441,55
441,252
441,7
441,112
378,378
378,76
378,82
378,272
378,454
378,228
378,164
378,391
378,453
378,3
151,151
151,220
151,90
151,25
151,411
151,324
151,348
151,198
151,42
151,109
44,44
44,332
44,235
44,283
44,436
44,222
44,153
44,234
44,30
44,252
403,403
403,285
403,260
403,246
403,298
403,161
403,5
403,434
403,183
403,59
25,25
25,324
25,26
25,151
25,49
25,402
25,411
25,193
25,313
25,220
31,31
31,68
31,39
31,236
31,141
31,339
31,123
31,169
31,95
31,55
386,386
386,101
386,455
386,270
386,179
386,257
386,418
386,274
386,45
386,197
410,410
410,310
410,103
410,345
410,187
410,205
410,208
410,399
410,387
410,406
349,349
349,417
349,150
349,353
349,428
349,159
349,262
349,73
349,466
349,369
157,157
157,413
157,167
157,397
157,57
157,170
157,302
157,390
157,377
157,121
362,362
362,305
362,363
362,60
362,126
362,163
362,250
362,277
362,119
362,321
425,425
425,472
425,19
425,113
425,226
425,152
425,184
425,473
425,196
425,335
418,418
418,407
418,101
418,386
418,45
418,455
418,230
418,350
418,23
418,290
390,390
390,232
390,170
390,163
390,377
390,167
390,363
390,305
390,397
390,266
135,135
135,406
135,468
135,128
135,97
135,146
135,187
135,81
135,470
135,103
163,163
163,232
163,363
163,60
163,196
163,250
163,362
163,305
163,390
163,295
53,53
53,453
53,419
53,454
53,233
53,189
53,112
53,234
53,102
53,125
153,153
153,229
153,436
153,44
153,189
153,309
153,235
153,234
153,332
153,419
